扇,庭ならし,御子舞,地固め,地固めもどき,つるぎ,庭ならし,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest2.json,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest1.json,御子舞,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest2.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest2.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest2.json,京都市立芸術大学(2013),西浦田楽-伝承の現在と未来-,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Kyoutogeijutsu/2013/manifest2.json,地固め,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest3.json,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest3.json,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest3.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest3.json,地固めもどき,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest4.json,つるぎ,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest5.json,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest5.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest5.json,石井一躬(1986),西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KazumiIshii/1986/manifest5.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest5.json
鳥帽子,庭ならし,御子舞,庭ならし,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest1.json,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest1.json,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest1.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest2.json,御子舞,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest2.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest2.json,櫻井弘人(2019),西浦田楽-太陽と月、そして先祖への畏敬-,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/HirotoSakurai/2019/manifest2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刀,御子舞,つるぎ,御子舞,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest2.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest2.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest2.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest2.json,京都市立芸術大学(2013),西浦田楽-伝承の現在と未来-,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Kyoutogeijutsu/2013/manifest2.json,櫻井弘人(2019),西浦田楽-太陽と月、そして先祖への畏敬-,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/HirotoSakurai/2019/manifest2.json,つるぎ,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
かるさん,庭ならし,地固めもどき,つるぎ,庭ならし,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest1.json,地固めもどき,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest4.json,つるぎ,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
しめ縄,地固めもどき,地固めもどき,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest4.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白の上布,庭ならし,御子舞,庭ならし,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest1.json,御子舞,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest2.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水干,庭ならし,御子舞,庭ならし,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest1.json,御子舞,静岡県磐田郡水窪町史研究民俗学編(1958),郷土芸能 西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Misakubotyou/1958/manifest2.json,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest2.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest2.json,櫻井弘人(2019),西浦田楽-太陽と月、そして先祖への畏敬-,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/HirotoSakurai/2019/manifest2.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鈴,御子舞,地固め,地固めもどき,つるぎ,御子舞,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest2.json,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest2.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest2.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest2.json,京都市立芸術大学(2013),西浦田楽-伝承の現在と未来-,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/Kyoutogeijutsu/2013/manifest2.json,地固め,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest3.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest3.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest3.json,地固めもどき,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest3.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest4.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest4.json,つるぎ,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest5.json,,,,,,,,,,,,,,
襷,地固め,地固めもどき,つるぎ,地固め,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest3.json,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest3.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest3.json,須藤功(1979),西浦田楽と宗教,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/IsaoSudou/1979/manifest3.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest3.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest3.json,地固めもどき,山路興造(1964),遠州西浦の田楽<br>--民俗芸能資料,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KouzouYamazi/1964/manifest3.json,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest4.json,須藤功(1979),西浦田楽と宗教,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/IsaoSudou/1979/manifest4.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest4.json,つるぎ,田中勝雄(1961),静岡県芸能史,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KatsuoTanaka/1961/manifest5.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest5.json,吉川祐子(2012),西浦田楽の民俗文化論,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/YukoYoshikawa/2012/manifest5.json,,,,,,,,,,,,,
つるぎ,つるぎ,つるぎ,新井恒易(1970),西浦観音堂の芸能,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/TsuneyasuArai/1970/manifest5.json,石井一躬(1986),西浦の田楽,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/KazumiIshii/1986/manifest5.json,高木英郷(1989),西浦の田楽<br>鑑賞の手引き,https://www.sugilab.net/mori.hiroyuki.lab/sotuken/manifests/EigouTakagi/1989/manifest5.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
